RBD,PAGO_MATRICULA2020,PAGO_MENSUAL2020,PAGO_MATRICULA2021,PAGO_MENSUAL2021,PAGO_MATRICULA2022,PAGO_MENSUAL2022,PAGO_MATRICULA2023,PAGO_MENSUAL2023,RURAL
8331,SIN INFORMACION,SIN INFORMACION,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,0.0
3823,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,$10.001 A $25.000,GRATUITO,GRATUITO,0.0
2896,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
5131,$1.000 A $10.000,$50.001 A $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
2660,GRATUITO,GRATUITO,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,MAS DE $100.000,MAS DE $100.000,0.0
13434,$1.000 A $10.000,$50.001 A $100.000,$1.000 A $10.000,$50.001 A $100.000,GRATUITO,GRATUITO,GRATUITO,$25.001 A $50.000,0.0
11348,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8849,MAS DE $100.000,MAS DE $100.000,$1.000 A $10.000,$50.001 A $100.000,$1.000 A $10.000,$50.001 A $100.000,GRATUITO,GRATUITO,0.0
10377,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,0.0
20484,$1.000 A $10.000,$25.001 A $50.000,MAS DE $100.000,MAS DE $100.000,$1.000 A $10.000,$50.001 A $100.000,GRATUITO,GRATUITO,0.0
9150,GRATUITO,$25.001 A $50.000,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
